id,text,label,origin,id-type,predictions,prediction_scores
1.461303386880594e+18,"Dar cobertura mediática a un grupo inicialmente residual llamado vox nos ha salido estupendo. ¿Q puede salir mal si le damos el micrófono a una nazi? 

A estas alturas del partido ya tendríamos q haber aprendido. Es exasperante",0,twitter,twitterId,1,"[0.0014056332875043154, 0.998594343662262]"
1.348675264239313e+18,"El paro en España. 

👇🏻 

Causalidad...mmm ... NO.

Casualidad... mmm ... MENOS.",1,twitter,twitterId,0,"[0.540355384349823, 0.4596445560455322]"
1.4000618884703437e+18,"Se equivoca. La mejor política, la que respeta la separación de poderes. 

Carmen Calvo incorregible, siempre contra Montesquieu.

Calvo dice que ""a veces la mejor justicia es la peor política"" y defiende el indulto como contrapeso entre poderes",0,twitter,twitterId,1,"[0.0028431203681975603, 0.9971568584442139]"
1.454383843398533e+18,"“¿Puede volver una república a España? Puede, si se lo facilita la monarquía, como en 1931. ¿Sería un desastre como aquella? Observe usted a los republicanos actuales: son incluso peores que aquellos”",0,twitter,twitterId,1,"[0.013460321351885796, 0.9865396618843079]"
1.462360290549506e+18,"Datos que salvan vidas.
YoMeVacuno 
VacunateYa 
LasVacunasSalvanVidas",0,twitter,twitterId,1,"[0.39270585775375366, 0.6072941422462463]"
1.4561836335391785e+18,"Rufián (ERC) acaba de decir esto: en este país se le quita el acta a un diputado de izquierdas por una denuncia falsa, repito, falsa de un policía.
Esto tiene un nombre, y está recogido en el Código Penal. Se llama calumniar. Y eso sí es delito.",0,twitter,twitterId,1,"[0.007870713248848915, 0.9921293258666992]"
1.426190660282069e+18,Hoy me han llamado liberal extremista.,0,twitter,twitterId,1,"[0.005874122027307749, 0.9941258430480957]"
1.4135546129724948e+18,"La ONU destaca el escudo social del gobierno por su capacidad para proteger a la población del impacto social y económico de la COVID-19 y poner las bases para permitir una recuperación más rápida, resiliente e inclusiva.

A partir de hoy, para Casado, la ONU es filoetarra.",0,twitter,twitterId,1,"[0.16655713319778442, 0.8334429264068604]"
1.3968741535763128e+18,"Comparecencia de Federico Aznar Fernández-Montesinos, capitán de fragata de la Armada, analista principal del Instituto Español de Estudios Estratégicos.
Comisión Seguridad Nacional Congreso_Es 
✅Verdad, sociedad de la información versus estrategia de engaño mediante el bulo",0,twitter,twitterId,1,"[0.014167403802275658, 0.9858325719833374]"
1.3855352023829873e+18,"Y de nuevo Tele5 omite la parte del video cuando Rocío condena la violencia, nada nuevo.
IglesiasCierraAlSalir",1,twitter,twitterId,0,"[0.9982095956802368, 0.0017903638072311878]"
1.4163504526696325e+18,"Yolanda Díaz: «Me gustaría abandonar el concepto patria y trabajar la matria». Para empezar, que abandone el gobierno y empiece a trabajar, esta vez de verdad.",1,twitter,twitterId,0,"[0.9981576800346375, 0.0018423692090436816]"
https://ctxt.es/es/20230301/Firmas/42264/transicion-energetica-renovables-rodrigo-sorogoyen-asamblea-ciudadana.htm,Es difícil encontrar un argumento que se sostenga menos.,1,news-articles,url,0,"[0.9985247254371643, 0.0014752516290172935]"
1.4558670756673167e+18,Dice Montero q PGE no suben impuestos y benefician a pymes y autónomos. Los autónomos y pymes pagan más pq les sobra dinero pese a haber +95mil autónomos en cese de actividad y 40mil empresas zombi. lorenzoamor_ata PGEDelaRuina,1,twitter,twitterId,0,"[0.9990672469139099, 0.0009327319567091763]"
1.386062047117521e+18,"Los sindicatos muestran su extrañeza porque hayan fallado los controles 

¿Qué probabilidad hay de que esos controles fallen 3 veces?

Cada vez hay más sombras sobre las supuestas amenazas a pabloiglesias",0,twitter,twitterId,1,"[0.008633307181298733, 0.9913666844367981]"
https://www.libertaddigital.com/opinion/2023-03-12/agapito-maestre-luz-de-marzo-no-hay-gobierno-6995114/,Y encima el jefe del PP no se moja.,1,news-articles,url,0,"[0.9987591505050659, 0.001240910729393363]"
https://ctxt.es/es/20230301/Politica/42481/Guillem-Martinez-mocion-de-censura-tamames-comunicacion-Sanchez-Diaz.htm,"Tal vez, tras la anterior reforma, y tras la hegemonía neoliberal en los gobiernos y en la Comisión, indesprecintable.",0,news-articles,url,1,"[0.2852768003940582, 0.7147231698036194]"
1.3996452757618074e+18,"Para Marruecos 130 todoterrenos y para nuestra Policía 18. 
Esto es Marlaska

Marlaska gasta 703.000 € en nuevos coches de Policía tras dar 9 millones a Marruecos para todoterrenos:",1,twitter,twitterId,0,"[0.9979191422462463, 0.002080824924632907]"
1.4585350562391245e+18,Bruselas manda a los “hombres de negro” a controlar a Sánchez. Bruselas someterá a España a un examen continuo para verificar que hace las reformas,0,twitter,twitterId,1,"[0.0030884291045367718, 0.9969115853309631]"
https://www.libertaddigital.com/opinion/2023-03-12/agapito-maestre-luz-de-marzo-no-hay-gobierno-6995114/,Y solo tienen una preocupación: seguir robando.,1,news-articles,url,0,"[0.9982905983924866, 0.001709408825263381]"
1.3567272406969958e+18,"Pregunta que he hecho hoy a PSOE y UP:

Que hace un hotel de más de 50 trabajadores, con CERO ingresos y unos gastos fijos mensuales de 130.000 €???
Obviamente...no me han contestado!

No saben o no quieren saber...que es lo peor!😡",1,twitter,twitterId,0,"[0.9928886294364929, 0.0071114422753453255]"
1.455957419348144e+18,"Los Presupuestos Xenerales del Estáu miren p'Asturies nel gastu social, nes cercaníes. Miren por aliviar l'agraviu del peaxe del Güerna y pola educación 0-3 pública, universal y de baldre. Siguimos trabayando, pa eso vinimos, pa eso tamos.",0,twitter,twitterId,1,"[0.0010725989704951644, 0.9989274144172668]"
1.4532781460112056e+18,"¿Sorpresa? Ninguna. 

Partidos que sirven a los poderes y grandes empresas del país, para acabar jubilándose en sus consejos de administración.",0,twitter,twitterId,1,"[0.03549613431096077, 0.964503824710846]"
1.4627942670852178e+18,Hoy seguimos discutiendo en el Congreso los presupuestos de la ETA y del separatismo sin que Sánchez esté ni se le espere,0,twitter,twitterId,1,"[0.003916795365512371, 0.99608314037323]"
https://www.huffingtonpost.es/opinion/derecha-censura-si.html,No proponen nada pero les molesta todo.,1,news-articles,url,0,"[0.9993171691894531, 0.0006828760961070657]"
1.366296285649789e+18,"Masajes, champán, sobres y billetes de 500€ pagados por Koldo, el asesor que le acompañó a sus quedadas con Delcy. abalosmeco ¿algo que decir?. 
ÁbalosDeluxe. En populares no cesaremos en pedirle explicaciones una y mil veces.",1,twitter,twitterId,0,"[0.9993686079978943, 0.0006313523626886308]"
1.45083111673113e+18,"Hoy hemos reivindicado desde Cuenca al gobierno de page la realización de la autovía Cuenca- Albacete. Mientras mienten y dilatan estas obras en el tiempo, nuestro presidente paconunez_ se preocupa de nuestro futuro.",0,twitter,twitterId,1,"[0.041329048573970795, 0.958670973777771]"
1.3630938991835546e+18,"Romper escaparates y quemar contenedores no es mejorar la democracia

Y esto no es libertad de expresión:

“¡Merece que explote el coche de Patxi López!
¡Que alguien clave un piolet en la cabeza de José Bono!
No me da pena tu tiro en la nuca, socialisto.
Ojalá vuelvan los GRAPO.”",0,twitter,twitterId,1,"[0.0023843899834901094, 0.9976155757904053]"
1.451962719448576e+18,"Otegi y Junqueras más fuertes y unidos 

No te lo perdonaremos jamás Pedro Sánchez",1,twitter,twitterId,0,"[0.9971972703933716, 0.002802768489345908]"
1.4059140411014554e+18,"Lo que molesta de Adrilastra es su poder.
Adriana Lastra es la portavoz en el Congreso de un partido con 142 años de historia y una de las personas más admiradas del PSOE entre su militancia.
Quienes la insultan no soportan que el poder tenga rostro de una mujer de izquierdas.",0,twitter,twitterId,1,"[0.003718444611877203, 0.9962815642356873]"
1.455181734757208e+18,"🔴Pues sí, EstadoDAlarmaTV es necesario.

Aquí el vídeo del Trujillo silenciado. La realidad necesita ser filmada y publicada.",0,twitter,twitterId,1,"[0.1400887370109558, 0.8599112629890442]"
1.4652966043286075e+18,"""Quién te dice que no entra un español a robar.""
""Tengo un perro que le he enseñado a oler españoles.""
En la TV pública.

Los que denunciamos con horror el ""a por ellos"" anticatalán de la ultraderecha española también debemos denunciar la xenofobia de cierta ultraderecha catalana",0,twitter,twitterId,1,"[0.001561723300255835, 0.99843829870224]"
1.4642157955511173e+18,"🎭 Qué persiguen los sindicatos más ultras de la policía y Guardia Civil y los partidos de la oposición involucionista (PP, Cs y V0X) al convocar juntos una manifestación el sábado contra el Gobierno de izquierdas❓
👁 En democracia este es un juego muy peligroso.",0,twitter,twitterId,1,"[0.009764445945620537, 0.9902355074882507]"
1.3630697393088348e+18,"Si se incumple la ley, la justicia actúa y en su caso sanciona tras el debido proceso

Voy a preguntar si a Valtonyc o Strawberry los llamo algún juez para pedirles mesura y prudencia en lugar de sancionarlos

Continuamos esperando a que el CGPJ abra expediente disciplinario",1,twitter,twitterId,0,"[0.9987955093383789, 0.0012045217445120215]"
